ts_recv,instrument_id,raw_symbol,underlying,instrument_class,expiration,strike_price
2025-09-22 10:30:00.729765913+00:00,33554607,AAPL  260618C00200000,AAPL,C,2026-06-18,200.0
2025-09-22 10:30:00.729772547+00:00,33554608,AAPL  260618P00220000,AAPL,P,2026-06-18,220.0
2025-09-22 10:30:00.732627901+00:00,33554611,AAPL  260618C00240000,AAPL,C,2026-06-18,240.0
2025-09-22 10:30:00.732637889+00:00,33554612,AAPL  260618P00175000,AAPL,P,2026-06-18,175.0
2025-09-22 10:30:00.739309866+00:00,33554613,AAPL  260618P00130000,AAPL,P,2026-06-18,130.0
2025-09-22 10:30:00.739789874+00:00,33554615,AAPL  260618P00070000,AAPL,P,2026-06-18,70.0
2025-09-22 10:30:00.742651971+00:00,33554619,AAPL  260618C00065000,AAPL,C,2026-06-18,65.0
2025-09-22 10:30:00.766282483+00:00,16777405,AAPL  270115C00400000,AAPL,C,2027-01-15,400.0
2025-09-22 10:30:00.766292521+00:00,16777406,AAPL  270115C00070000,AAPL,C,2027-01-15,70.0
2025-09-22 10:30:00.768803330+00:00,16777409,AAPL  270115C00380000,AAPL,C,2027-01-15,380.0
2025-09-22 10:30:00.768823371+00:00,16777410,AAPL  270115C00045000,AAPL,C,2027-01-15,45.0
2025-09-22 10:30:00.782586678+00:00,33554649,AAPL  261218C00130000,AAPL,C,2026-12-18,130.0
2025-09-22 10:30:00.782596871+00:00,33554650,AAPL  261218P00090000,AAPL,P,2026-12-18,90.0
2025-09-22 10:30:00.792611753+00:00,33554657,AAPL  261218C00340000,AAPL,C,2026-12-18,340.0
2025-09-22 10:30:00.792620832+00:00,33554658,AAPL  261218C00195000,AAPL,C,2026-12-18,195.0
2025-09-22 10:30:00.794765408+00:00,16777427,AAPL  270115C00330000,AAPL,C,2027-01-15,330.0
2025-09-22 10:30:00.797777949+00:00,16777432,AAPL  270115C00155000,AAPL,C,2027-01-15,155.0
2025-09-22 10:30:00.799457689+00:00,33554661,AAPL  261218P00050000,AAPL,P,2026-12-18,50.0
2025-09-22 10:30:00.799467243+00:00,33554662,AAPL  261218P00180000,AAPL,P,2026-12-18,180.0
2025-09-22 10:30:00.799937402+00:00,33554663,AAPL  261218P00160000,AAPL,P,2026-12-18,160.0
2025-09-22 10:30:00.799953410+00:00,33554664,AAPL  261218C00250000,AAPL,C,2026-12-18,250.0
2025-09-22 10:30:00.802794993+00:00,33554667,AAPL  261218C00120000,AAPL,C,2026-12-18,120.0
2025-09-22 10:30:00.802800166+00:00,33554668,AAPL  261218P00220000,AAPL,P,2026-12-18,220.0
2025-09-22 10:30:00.809481430+00:00,33554669,AAPL  261218C00300000,AAPL,C,2026-12-18,300.0
2025-09-22 10:30:00.809491486+00:00,33554670,AAPL  261218P00105000,AAPL,P,2026-12-18,105.0
2025-09-22 10:30:00.809977682+00:00,33554672,AAPL  261218P00175000,AAPL,P,2026-12-18,175.0
2025-09-22 10:30:00.812819100+00:00,33554675,AAPL  261218P00115000,AAPL,P,2026-12-18,115.0
2025-09-22 10:30:00.828986023+00:00,16777457,AAPL  251219C00295000,AAPL,C,2025-12-19,295.0
2025-09-22 10:30:00.829007387+00:00,16777458,AAPL  251017C00355000,AAPL,C,2025-10-17,355.0
2025-09-22 10:30:00.832721605+00:00,33554690,AAPL  261218C00030000,AAPL,C,2026-12-18,30.0
2025-09-22 10:30:00.834866007+00:00,16777459,AAPL  270115C00105000,AAPL,C,2027-01-15,105.0
2025-09-22 10:30:00.834871046+00:00,16777460,AAPL  270115C00030000,AAPL,C,2027-01-15,30.0
2025-09-22 10:30:00.836443918+00:00,16777461,AAPL  251017C00275000,AAPL,C,2025-10-17,275.0
