ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,trading_reference_price,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,trading_reference_date,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,md_security_trading_status,main_fraction,price_display_format,settl_price_type,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,symbol
2025-09-22 10:30:00.531753914+00:00,19,30,33554444,AAPL  260116C00285000,A,C,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554444,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,285.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116C00285000
2025-09-22 10:30:00.539081133+00:00,19,30,33554446,AAPL  260116C00225000,A,C,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554446,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,225.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116C00225000
2025-09-22 10:30:00.541772793+00:00,19,30,33554447,AAPL  260116C00175000,A,C,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554447,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,175.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116C00175000
2025-09-22 10:30:00.545550956+00:00,19,30,16777238,AAPL  251219C00350000,A,C,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777238,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,350.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219C00350000
2025-09-22 10:30:00.547901786+00:00,19,30,16777240,AAPL  251219C00040000,A,C,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777240,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,40.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219C00040000
2025-09-22 10:30:00.549100359+00:00,19,30,33554449,AAPL  260116P00050000,A,P,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554449,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,50.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116P00050000
2025-09-22 10:30:00.549105395+00:00,19,30,33554450,AAPL  260116C00265000,A,C,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554450,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,265.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116C00265000
2025-09-22 10:30:00.555564814+00:00,19,30,16777241,AAPL  251219P00005000,A,P,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777241,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,5.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219P00005000
2025-09-22 10:30:00.559124276+00:00,19,30,33554453,AAPL  260116C00195000,A,C,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554453,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,195.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116C00195000
2025-09-22 10:30:00.560907439+00:00,19,30,16777246,AAPL  251219C00080000,A,C,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777246,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,80.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219C00080000
